x,y,height
-53,39,2
-53,40,2
-53,41,2
-53,42,2
-53,43,2
-53,44,2
-53,45,2
-53,46,2
-53,47,2
-53,48,2
-53,49,2
-53,50,2
-53,51,2
-53,52,2
-53,53,2
-53,54,2
-53,55,2
-53,56,2
-53,57,2
-53,58,2
-53,59,2
-53,60,2
-52,-42,12
-52,-41,11
-52,-40,10
-52,-39,10
-52,-38,10
-52,-37,10
-52,-36,9
-52,-35,6
-52,-34,3
-52,-33,2
-52,-32,2
-52,-31,2
-52,-30,2
-52,-29,2
-52,-28,2
-52,-27,2
-52,-26,2
-52,-25,0
-52,-24,-2
-52,-23,-4
-52,-22,-4
-52,-21,-4
-52,-20,-4
-52,-19,-4
-52,-18,-4
-52,-17,-4
-52,-16,-5
-52,-15,-5
-52,-14,-5
-52,-13,-5
-52,-12,-5
-52,-11,-5
-52,-10,-5
-52,-9,-5
-52,-8,-4
-52,-7,-4
-52,-6,-4
-52,-5,-4
-52,-4,-4
-52,-3,-4
-52,-2,-4
-52,-1,-4
-52,0,-4
-52,1,-4
-52,2,-4
-52,3,-4
-52,4,-3
-52,5,0
-52,6,1
-52,7,2
-52,8,2
-52,9,2
-52,10,2
-52,11,2
-52,12,2
-52,13,2
-52,14,2
-52,15,2
-52,16,2
-52,17,2
-52,18,2
-52,19,2
-52,20,2
-52,21,2
-52,22,2
-52,23,2
-52,24,2
-52,25,2
-52,26,2
-52,27,2
-52,28,2
-52,29,2
-52,30,2
-52,31,2
-52,32,2
-52,33,2
-52,34,2
-52,35,2
-52,36,2
-52,37,2
-52,38,2
-52,39,2
-52,40,2
-52,41,2
-52,42,2
-52,43,2
-52,44,2
-52,45,2
-52,46,2
-52,47,2
-52,48,2
-52,49,2
-52,50,2
-52,51,2
-52,52,2
-52,53,1
-52,54,1
-52,55,1
-52,56,1
-52,57,1
-52,58,1
-52,59,1
-52,60,1
-51,-44,12
-51,-43,11
-51,-42,11
-51,-41,10
-51,-40,10
-51,-39,9
-51,-38,7
-51,-37,4
-51,-36,3
-51,-35,2
-51,-34,2
-51,-33,2
-51,-32,2
-51,-31,2
-51,-30,2
-51,-29,2
-51,-28,2
-51,-27,0
-51,-26,-2
-51,-25,-3
-51,-24,-4
-51,-23,-4
-51,-22,-4
-51,-21,-4
-51,-20,-4
-51,-19,-5
-51,-18,-5
-51,-17,-5
-51,-16,-5
-51,-15,-5
-51,-14,-5
-51,-13,-5
-51,-12,-5
-51,-11,-5
-51,-10,-5
-51,-9,-5
-51,-8,-5
-51,-7,-5
-51,-6,-5
-51,-5,-5
-51,-4,-5
-51,-3,-4
-51,-2,-4
-51,-1,-4
-51,0,-4
-51,1,-4
-51,2,-4
-51,3,-4
-51,4,-4
